period,sim_1,sim_2,sim_3,sim_4,sim_5,sim_6,sim_7,sim_8,sim_9,sim_10
4,0.6072030581356078,0.5,1.2816304492608186,1.2892153506772535,0.8800583241696084,0.5,0.5,0.5,1.5,0.7280475745882667
5,0.6072030581356078,0.5,1.2816304492608186,1.2892153506772535,0.8800583241696084,0.5,0.5,0.5,1.5,0.7280475745882667
6,0.6072030581356078,0.5,1.2816304492608186,1.2892153506772535,0.8800583241696084,0.5,0.5,0.5,1.5,0.7280475745882667
7,0.6072030581356078,0.5,1.2816304492608186,1.2892153506772535,0.8800583241696084,0.5,0.5,0.5,1.5,0.7280475745882667
8,0.6072030581356078,0.5,1.2816304492608186,1.2892153506772535,0.8800583241696084,0.5,0.5,0.5,1.5,0.7280475745882667
9,0.6072030581356078,0.5,1.2816304492608186,1.2892153506772535,0.8800583241696084,0.5,0.5,0.5,1.5,0.7280475745882667
10,0.6072030581356078,0.5,1.2816304492608186,1.2892153506772535,0.8800583241696084,0.5,0.5,0.5,1.5,0.7280475745882667
11,0.6072030581356078,0.5,1.2816304492608186,1.2892153506772535,0.8800583241696084,0.5,0.5,0.5,1.5,0.7280475745882667
12,1.092492905317745,1.3237861927432761,1.5,1.055647120108153,0.9838378817594446,1.113600275205648,1.4477600176093302,1.0213637965505102,1.0888988826146158,1.5
13,1.092492905317745,1.3237861927432761,1.5,1.055647120108153,0.9838378817594446,1.113600275205648,1.4477600176093302,1.0213637965505102,1.0888988826146158,1.5
14,1.092492905317745,1.3237861927432761,1.5,1.055647120108153,0.9838378817594446,1.113600275205648,1.4477600176093302,1.0213637965505102,1.0888988826146158,1.5
15,1.092492905317745,1.3237861927432761,1.5,1.055647120108153,0.9838378817594446,1.113600275205648,1.4477600176093302,1.0213637965505102,1.0888988826146158,1.5
16,1.092492905317745,1.3237861927432761,1.5,1.055647120108153,0.9838378817594446,1.113600275205648,1.4477600176093302,1.0213637965505102,1.0888988826146158,1.5
17,1.092492905317745,1.3237861927432761,1.5,1.055647120108153,0.9838378817594446,1.113600275205648,1.4477600176093302,1.0213637965505102,1.0888988826146158,1.5
18,1.092492905317745,1.3237861927432761,1.5,1.055647120108153,0.9838378817594446,1.113600275205648,1.4477600176093302,1.0213637965505102,1.0888988826146158,1.5
