period,sim_1,sim_2,sim_3,sim_4,sim_5,sim_6,sim_7,sim_8,sim_9,sim_10
1,0.01694449805846987,0.01694449805846987,0.01694449805846987,0.01694449805846987,0.01694449805846987,0.01694449805846987,0.01694449805846987,0.01694449805846987,0.01694449805846987,0.01694449805846987
2,0.03388899611693974,0.03388899611693974,0.03388899611693974,0.03388899611693974,0.03388899611693974,0.03388899611693974,0.03388899611693974,0.03388899611693974,0.03388899611693974,0.03388899611693974
3,0.034015565870335274,0.034015565870335274,0.034015565870335274,0.034015565870335274,0.034015565870335274,0.034015565870335274,0.034015565870335274,0.034015565870335274,0.034015565870335274,0.034015565870335274
4,0.03414213562373081,0.03414213562373081,0.03414213562373081,0.03414213562373081,0.03414213562373081,0.03414213562373081,0.03414213562373081,0.03414213562373081,0.03414213562373081,0.03414213562373081
5,0.19291255451320982,0.21414213562373086,0.04029373343884579,0.04116381433284111,0.07638153105179168,0.21414213562373086,0.21414213562373086,0.21414213562373086,0.11414213562373088,0.13211744723730834
6,0.3516829734026889,0.3941421356237309,0.046445331253960775,0.04818549304195141,0.11862092647985267,0.3941421356237309,0.3941421356237309,0.3941421356237309,0.19414213562373084,0.23009275885088587
7,0.5104533922921679,0.574142135623731,0.05259692906907587,0.05520717175106171,0.16086032190791355,0.574142135623731,0.574142135623731,0.574142135623731,0.2741421356237308,0.3280680704644634
8,0.6692238111816471,0.754142135623731,0.058748526884190855,0.062228850460172014,0.20309971733597443,0.754142135623731,0.754142135623731,0.754142135623731,0.35414213562373076,0.42604338207804093
9,0.7583022182030654,0.9341421356237312,0.09058654916776254,0.09600962068297769,0.2142346626749947,0.9341421356237312,0.9341421356237312,0.9341421356237312,0.4341421356237307,0.4714166772341346
10,0.8473806252244835,1.1141421356237313,0.12242457145133434,0.12979039090578337,0.22536960801401495,1.1141421356237313,1.1141421356237313,1.1141421356237313,0.5141421356237308,0.5167899723902281
11,0.9364590322459017,1.2941421356237315,0.15426259373490614,0.16357116112858905,0.23650455335303522,1.2941421356237315,1.2941421356237315,1.2941421356237315,0.5941421356237309,0.5621632675463215
12,1.0255374392673198,1.4741421356237316,0.18610061601847783,0.19735193135139473,0.24763949869205548,1.4741421356237316,1.4741421356237316,1.4741421356237316,0.6741421356237309,0.607536562702415
13,1.0277797589760271,1.4876436259754797,0.2661006160184778,0.20274052529862374,0.26306112537736104,1.4751937091175051,1.5157004831377945,1.4836774654551197,0.6766315963692584,0.6875365627024148
14,1.0300220786847345,1.5011451163272276,0.34610061601847775,0.20812911924585276,0.2784827520626666,1.4762452826112784,1.557258830651857,1.4932127952865077,0.6791210571147857,0.7675365627024149
15,1.0322643983934419,1.5146466066789754,0.4261006160184777,0.21351771319308177,0.29390437874797215,1.4772968561050517,1.5988171781659197,1.5027481251178958,0.6816105178603129,0.847536562702415
16,1.0345067181021492,1.5281480970307233,0.5061006160184778,0.21890630714031079,0.3093260054332777,1.478348429598825,1.6403755256799823,1.5122834549492838,0.6840999786058402,0.927536562702415
17,1.0367490378108566,1.5416495873824712,0.5861006160184778,0.2242949010875398,0.32474763211858326,1.4794000030925982,1.681933873194045,1.521818784780672,0.6865894393513674,1.007536562702415
18,1.038991357519564,1.555151077734219,0.6661006160184779,0.22968349503476881,0.3401692588038888,1.4804515765863715,1.7234922207081076,1.53135411461206,0.6890789000968947,1.0875365627024152
19,1.0412336772282713,1.5686525680859669,0.746100616018478,0.23507208898199783,0.3555908854891944,1.4815031500801448,1.7650505682221702,1.540889444443448,0.6915683608424219,1.1675365627024152
20,1.0434759969369787,1.5821540584377147,0.8261006160184781,0.24046068292922684,0.37101251217449993,1.482554723573918,1.8066089157362328,1.550424774274836,0.6940578215879492,1.2475365627024153
21,1.0448255676047724,1.62226836205443,0.9061006160184781,0.24057480084263128,0.37262005710925994,1.4852236514717465,1.8866089157362327,1.5506086308423306,0.6952271295555584,1.3275365627024154
22,1.0461751382725661,1.6623826656711453,0.9861006160184782,0.2406889187560357,0.37422760204401995,1.4878925793695752,1.9666089157362328,1.5507924874098251,0.6963964375231678,1.4075365627024155
23,1.0475247089403599,1.7024969692878607,1.0661006160184783,0.24080303666944025,0.37583514697877995,1.4905615072674039,2.0466089157362326,1.5509763439773196,0.6975657454907772,1.4875365627024155
24,1.0488742796081536,1.742611272904576,1.1461006160184783,0.24091715458284468,0.37744269191353996,1.4932304351652326,2.1266089157362327,1.5511602005448142,0.6987350534583866,1.5675365627024156
25,1.0502238502759473,1.7827255765212913,1.2261006160184784,0.24103127249624923,0.37905023684829997,1.4958993630630613,2.2066089157362327,1.5513440571123087,0.699904361425996,1.6475365627024157
26,1.0515734209437408,1.8228398801380066,1.3061006160184785,0.24114539040965366,0.38065778178306,1.49856829096089,2.286608915736233,1.5515279136798032,0.7010736693936054,1.7275365627024157
27,1.0529229916115348,1.8629541837547219,1.3861006160184786,0.2412595083230581,0.38226532671782,1.5012372188587186,2.366608915736233,1.5517117702472978,0.7022429773612148,1.8075365627024156
28,1.0542725622793285,1.9030684873714372,1.4661006160184786,0.24137362623646252,0.38387287165258,1.5039061467565473,2.446608915736233,1.5518956268147923,0.7034122853288242,1.8875365627024154
29,1.05468374222753,1.905848604704842,1.4726388095480454,0.243138133092751,0.46387287165257995,1.5090588960193023,2.448269150815479,1.561598026193506,0.711039480302983,1.8906959681708155
30,1.0550949221757313,1.9086287220382467,1.479177003077612,0.2449026399490395,0.54387287165258,1.514211645282057,2.449929385894725,1.5713004255722196,0.7186666752771419,1.8938553736392154
31,1.0555061021239327,1.9114088393716515,1.4857151966071784,0.24666714680532797,0.6238728716525801,1.5193643945448119,2.451589620973971,1.5810028249509331,0.7262938702513008,1.8970147791076153
32,1.055917282072134,1.9141889567050563,1.492253390136745,0.24843165366161646,0.7038728716525802,1.5245171438075666,2.453249856053217,1.5907052243296467,0.7339210652254596,1.9001741845760152
33,1.0563284620203355,1.916969074038461,1.4987915836663115,0.25019616051790494,0.7838728716525802,1.5296698930703214,2.4549100911324633,1.6004076237083602,0.7415482601996186,1.903333590044415
34,1.0567396419685369,1.9197491913718658,1.505329777195878,0.2519606673741934,0.8638728716525803,1.5348226423330762,2.4565703262117093,1.6101100230870737,0.7491754551737774,1.906492995512815
35,1.0571508219167383,1.9225293087052704,1.5118679707254445,0.2537251742304819,0.9438728716525804,1.539975391595831,2.4582305612909554,1.6198124224657873,0.7568026501479362,1.9096524009812148
36,1.0575620018649396,1.9253094260386754,1.518406164255011,0.2554896810867704,1.0238728716525805,1.5451281408585857,2.4598907963702015,1.6295148218445008,0.7644298451220951,1.9128118064496147
37,1.057973181813141,1.9280895433720802,1.5249443577845776,0.2572541879430589,1.1038728716525805,1.5502808901213405,2.4615510314494475,1.6392172212232143,0.772057040096254,1.9159712119180146
38,1.0583843617613424,1.930869660705485,1.5314825513141441,0.25901869479934736,1.1838728716525806,1.5554336393840953,2.4632112665286936,1.6489196206019279,0.7796842350704128,1.9191306173864144
39,1.0587955417095438,1.9336497780388897,1.5380207448437107,0.26078320165563584,1.2638728716525807,1.56058638864685,2.4648715016079397,1.6586220199806414,0.7873114300445717,1.9222900228548143
40,1.0592067216577452,1.9364298953722945,1.5445589383732772,0.2625477085119243,1.3438728716525807,1.5657391379096048,2.4665317366871857,1.668324419359355,0.7949386250187306,1.9254494283232142
41,1.0596179016059466,1.9392100127056993,1.5510971319028437,0.2643122153682128,1.4238728716525808,1.5708918871723596,2.468191971766432,1.6780268187380685,0.8025658199928895,1.928608833791614
42,1.060029081554148,1.941990130039104,1.5576353254324102,0.2660767222245013,1.5038728716525809,1.5760446364351144,2.469852206845678,1.687729218116782,0.8101930149670483,1.931768239260014
43,1.0604402615023494,1.9447702473725088,1.5641735189619768,0.2678412290807898,1.583872871652581,1.5811973856978692,2.471512441924924,1.6974316174954955,0.8178202099412072,1.9349276447284138
44,1.0608514414505508,1.9475503647059136,1.5707117124915433,0.26960573593707826,1.663872871652581,1.586350134960624,2.47317267700417,1.707134016874209,0.8254474049153661,1.938087050196814
45,1.063394939588643,1.9478737839317042,1.5936851091496655,0.2823107930309937,1.743872871652581,1.5863512840906362,2.474070559995516,1.7079063054287307,0.8257237335440746,1.938297360787934
46,1.0659384377267354,1.948197203157495,1.6166585058077878,0.29501585012490916,1.8238728716525812,1.5863524332206487,2.474968442986862,1.7086785939832523,0.8260000621727832,1.9385076713790539
47,1.0684819358648276,1.9485206223832858,1.63963190246591,0.3077209072188246,1.9038728716525812,1.5863535823506612,2.475866325978208,1.7094508825377739,0.8262763908014918,1.9387179819701739
48,1.07102543400292,1.9488440416090766,1.6626052991240323,0.32042596431274006,1.9838728716525813,1.5863547314806736,2.476764208969554,1.7102231710922955,0.8265527194302005,1.9389282925612938
