period,sim_1,sim_2,sim_3,sim_4,sim_5,sim_6,sim_7,sim_8,sim_9,sim_10
1,-0.0623460863566912,-0.05937839813983453,0.006440019891822302,0.002282286872169248,-0.014639582018972419,-0.054319701939454734,-0.04829360200325805,0.0005951086998834398,0.007331009874021466,-0.012175868566741244
2,-0.05333064673973742,-0.05006618970119503,0.022334070133627426,0.017760563812009078,-0.0008534919682468001,-0.0445016238807775,-0.03787291395096093,0.015904667822494778,0.02331415911404644,0.0018565928292074707
3,0.0008688283232178851,0.004135850252591777,0.0758151935041591,0.07172778512377931,0.05336784669971506,0.009704788164197509,0.016338706285490612,0.0700691441845952,0.07669111312258103,0.05607842474914515
4,0.006402688607569429,0.009669967026026405,0.0812772186192684,0.07723842003301229,0.05890389334456725,0.015239342146750934,0.021873781087191735,0.07559950459886111,0.08214272130149058,0.06161452071919504
5,0.14133659295627782,0.16053560397238575,0.11226549782066297,0.09560523378289876,0.12030643960965404,0.16610754384892595,0.2897851495060491,0.226478358451505,0.08663588151949875,0.15826924532317932
6,0.3026270939627447,0.3376221676670217,0.16498917217591735,0.13349012649410297,0.2063749098700154,0.3431943640191435,0.38857628634793473,0.40356624383676937,0.10634489669932123,0.28098912234990603
7,0.46655325463498737,0.5173308240364853,0.21988638604655764,0.17332682710143887,0.29490997252990425,0.5229030460361653,0.47045540003212305,0.5832750323752959,0.12757549737532514,0.4063155146189069
8,0.6307429812738077,0.6973016896734318,0.27500095386873646,0.2133587084983879,0.38369169442974593,0.7028739142378676,0.5506433114005419,0.7632459112291485,0.1489582566009473,0.5319025584121353
9,0.7522576448487016,0.8772987762371266,0.3317478882926267,0.26403888397546793,0.4576776982117121,0.8828710010580378,0.6306621025373839,0.9432429991145337,0.19498666982063362,0.6280267655430676
10,0.8482631207977941,1.057298484893496,0.3537804851571311,0.2781310152564844,0.5003629653757026,1.062870709740055,0.710663981651068,1.1232427079030722,0.20151768604377962,0.6958973639404249
11,0.9417176779843064,1.237298455759133,0.37234164826569693,0.2885643421178947,0.5399181588778954,1.2428706806082568,0.7906641695624362,1.3032426787819262,0.20409896256727167,0.7609426014644246
12,1.0349171432945607,1.4172984528456969,0.3905556679986689,0.2986317885373443,0.5791603450139083,1.422870677695077,0.870664188353573,1.4832426758698116,0.20628526512079826,0.8257053029010888
13,1.1187778701218374,1.6069135626165545,0.5301786091851626,0.31600173842284074,0.6184781518211452,1.5619346552590794,0.8271891887327107,1.614265901394068,0.26990465894293736,1.0920031198221907
14,1.1435975678472294,1.6260034210503989,0.5543997260449368,0.32228874217797476,0.6471660680333194,1.5861863015694213,0.8297316866825508,1.642774744572479,0.3551851748772581,1.1436033917335804
15,1.1625131626624328,1.628040754350542,0.5670806604720389,0.3274674513200725,0.6747909951859874,1.5989567147543975,0.8368759343894612,1.6610321495163052,0.44263180302279703,1.173733909143999
16,1.1808383471866173,1.628372835137315,0.5786075766558739,0.3325353310008665,0.7023096234327049,1.6105790046268373,0.8444803570720785,1.678264410636673,0.5302950423894578,1.2017174511043205
17,1.1991044906816997,1.6285343906727512,0.5900190910153823,0.33759212773553027,0.7298176217888273,1.6220864821680232,0.8521307972522664,1.695394157374695,0.6179799428782308,1.229486295519632
18,1.2173647300738721,1.6286788936830536,0.6014190651924579,0.34264781617558104,0.75732455715589,1.6335824784760837,0.8597858391822114,1.7125136526744824,0.7056670094792149,1.2572336701804425
19,1.2356243790557535,1.6288216914408427,0.6128178853512902,0.34770339378617043,0.7848313862240467,1.6450773266608316,0.8674413412871321,1.7296321228304463,0.7933542926914202,1.2849788978658032
20,1.2538839689966057,1.6289643186733802,0.6242165901082981,0.3527589603138137,0.8123382046623129,1.6565720600332483,0.8750968894095504,1.746750490472028,0.8810415975647475,1.3127239108536188
21,1.2931576415449015,1.6770535844403984,0.7095151112004008,0.39282671164977323,0.8541418790061989,1.695183923186828,0.9141804612812077,1.7858210667778476,0.9545447298508715,1.4274437781427116
22,1.2994294338103627,1.6865472817171603,0.7508277901686299,0.3969852860783982,0.8643387909200051,1.6995263483387464,0.9180992615314311,1.791694919854479,1.0023563916653562,1.4954622153816497
23,1.3024010380475404,1.692181422144896,0.7877418849244715,0.3975529428162896,0.8713750265908031,1.7004418296904988,0.9185015846195108,1.7942491006081918,1.0475989064326772,1.558810509615572
24,1.3050426234818895,1.6974296068877295,0.8242161212590742,0.39776150778510766,0.8780951946373007,1.7010146166622349,0.9185522599913764,1.7964713141296125,1.0925845064952813,1.621691789548993
25,1.3076512070359558,1.7026391960620728,0.8606463717515531,0.3979341635770185,0.884783755921368,1.701553134195969,0.9185677705916205,1.7986603309278042,1.1375444150874139,1.6845263680523637
26,1.310256490401994,1.707844925679567,0.8970722236598195,0.3981032284512386,0.8914691565291925,1.702088224785903,0.9185797647147024,1.8008460280536729,1.1825017545324994,1.7473562764127295
27,1.3128614437492292,1.7130502693413763,0.9334976357096648,0.39827193423368956,0.8981542410693923,1.702622972681457,0.918591407190068,1.8030313932123097,1.2274588370628803,1.8101857177587948
28,1.315466364094584,1.7182555744076171,0.9699230037736681,0.3984406041069639,0.9048392940028298,1.703157686307573,0.9186030145006621,1.8052167251742228,1.2724158939017904,1.8730151124034298
29,1.3177487451162948,1.7036138078556917,0.9387030077809922,0.3920098502448437,1.0235586676472603,1.7035268276405855,0.9145045891774986,1.8115067285706856,1.316717710871227,1.8327237071119735
30,1.3232552749913484,1.7084240886931417,0.9357967983482695,0.3976276344680507,1.0473543698648107,1.7142086585216803,0.9205406852610836,1.8276250786582278,1.3580913517907094,1.8334973381723485
31,1.3290842197517363,1.7151795742695288,0.935721967571542,0.4044502724997906,1.0616577049396727,1.7259217583575834,0.9275902334853434,1.844726263414878,1.3991721751051962,1.838377472867907
32,1.3349454060006576,1.7221295803198098,0.935930274660414,0.41139339591238366,1.075011803300266,1.737737985088967,0.9347411269236705,1.861925731638439,1.4402237166591836,1.8436682579269834
33,1.3408098163984326,1.7290990384174802,0.9361668955358461,0.41834856786306196,1.0882709779894326,1.7495645245098985,0.9419021548834042,1.8791350282086912,1.481272330037121,1.8490001080224117
34,1.3466745492110928,1.7360704417198898,0.9364063477899341,0.425304944667549,1.1015206603114565,1.761392095199785,0.9490641962952788,1.8963453076136125,1.5223206505974538,1.854336064621475
35,1.352539314265241,1.743042039542773,0.9366460831818877,0.4322614419574169,1.114769393396766,1.7732197690165674,0.9562263390523675,1.9135556853020006,1.5633689418760257,1.8596724318709024
36,1.3584040825435384,1.7500136568177038,0.9368858468876278,0.43921795129582264,1.1280180315584043,1.785047453146039,0.9633884919439775,1.9307660728187355,1.6044172302264217,1.8650088401853657
37,1.3642688511442507,1.7569852760378393,0.9371256134247464,0.44617446183908227,1.141266660227675,1.7968751383067794,0.9705506458490397,1.947976461318305,1.645465518284,1.8703452526063327
38,1.3701336197772045,1.7639568954524953,0.9373653802450032,0.4531309725028273,1.1545152879477092,1.8087028235706466,0.9777127998554471,1.965186849916158,1.6865138063122966,1.87568166543795
39,1.3759983884133824,1.7709285148866036,0.9376051470935736,0.4600874831786209,1.1677639155728197,1.8205305088448267,0.984874953871989,1.9823972385238395,1.727562094337665,1.8810180783106327
40,1.3818631570498827,1.7779001343226568,0.9378449139449756,0.46704399385561934,1.1810125431884377,1.8323581941200382,0.9920371078895442,1.9996076271325038,1.7686103823627406,1.8863544911874217
41,1.3877279256864155,1.7848717537589045,0.9380846807966607,0.47400050453273823,1.1942611708031068,1.844185879395353,0.9991992619072009,2.0168180157412663,1.8096586703877873,1.8916909040646213
42,1.393592694322951,1.7918433731951717,0.938324447648374,0.48095701520986933,1.2075097984176808,1.8560135646706777,1.006361415924868,2.0340284043500385,1.8507069584128306,1.897027316941862
43,1.3994574629594871,1.7988149926314407,0.9385642145000901,0.48791352588700154,1.220758426032245,1.8678412499460035,1.0135235699425356,2.051238792958812,1.8917552464378735,1.9023637298191067
44,1.4053222315960232,1.80578661206771,0.9388039813518064,0.494870036564134,1.2340070536468084,1.8796689352213298,1.0206857239602034,2.0684491815675856,1.9328035344629164,1.9077001426963518
45,1.4381076117545422,1.8384076374781477,0.9771969746635277,0.5274925959929067,1.3094170520433475,1.9125022272248904,1.0532889318118492,2.102540881676017,1.977603572391526,1.9406063375838958
46,1.441417172596957,1.841816863186258,0.9837812209412481,0.5308998991424924,1.3480319965082455,1.9170882009079713,1.0567236130979765,2.109241847857596,1.997739785340164,1.9439018854385317
47,1.4417791515077614,1.8423049089241357,0.9871845925155682,0.5313856766641594,1.3829674355799793,1.9188494427590044,1.0572414417275522,2.11320374064649,2.015409615790805,1.9442363685898767
48,1.4418463722254047,1.84250083666499,0.9902698766195482,0.5315793016230347,1.4175349241123967,1.9203282114268325,1.0574675850914723,2.116891726096115,2.032832807991646,1.9442747452708928
49,1.441884117123732,1.8426675526061418,0.9933233519764945,0.5317437113256307,1.4520656175908826,1.9217787327763403,1.0576645599288272,2.1205523208118136,2.0502313363675073,1.9442835113048762
50,1.4419189144401274,1.8428313473673232,0.9963736464587372,0.5319051995025988,1.4865926315639753,1.923226429394016,1.0578586179135252,2.1242101764541195,2.0676273983608704,1.944289316274156
51,1.44195341699833,1.8429948500105078,0.9994236228535098,0.5320663955270041,1.5211192775865285,1.9246738435385087,1.0580523842129577,2.127867758189086,2.0850232137159836,1.9442948251369656
52,1.441987890080713,1.8431583234418927,1.002473567439535,0.5322275623361532,1.5556458868140277,1.9261212294356829,1.0582461213438636,2.1315253125333187,2.102419004407272,1.944300304389128
53,1.4420223602155144,1.8433217939520976,1.0055235088446857,0.5323887262237766,1.5901724923620217,1.9275686125081255,1.058439855557917,2.1351828641384776,2.119814792632178,1.944305780680226
54,1.4420568300555574,1.8434852641701847,1.008573449931749,0.5325498898192474,1.6246990975420652,1.9290159952980948,1.0586335894802854,2.1388404154697294,2.1372105806104456,1.9443112566752174
55,1.4420912998661248,1.8436487343590597,1.0116233909870034,0.5327110533855031,1.6592257026853137,1.9304633780598166,1.0588273233734848,2.1424979667735906,2.1546063685640493,1.9443167326405981
56,1.4421257696737444,1.8438122045450136,1.0146733320390768,0.532872216948837,1.6937523078248826,1.931910760818714,1.0590210572637675,2.1461555180747127,2.1720021565151866,1.9443222086030176
57,1.4421602394810695,1.8439756747306753,1.0177232730908323,0.5330333805118789,1.7282789129640839,1.9333581435773288,1.0592147911537584,2.149813069375561,2.1893979444660774,1.944327684565141
58,1.442194709288365,1.8441391449163078,1.0207732141425558,0.5331945440748918,1.762805518103248,1.9348055263359152,1.05940852504372,2.153470620676382,2.2067937324169433,1.9443331605272347
59,1.4422291790956576,1.8443026151019377,1.0238231551942762,0.5333557076379013,1.7973321232424087,1.9362529090944989,1.0596022589336789,2.1571281719771997,2.224189520367807,1.9443386364893258
60,1.4422636489029497,1.8444660852875672,1.0268730962459962,0.5335168712009107,1.8318587283815688,1.9377002918530821,1.0597959928236373,2.1607857232780177,2.2415853083186703,1.9443441124514163
61,1.443905154313574,1.8413429127831065,1.0139349609601844,0.5303333958062496,1.8013752296597705,1.9382502196302942,1.0567552399084583,2.164521522323872,2.2690587236449433,1.939824418807525
62,1.4604976085284718,1.8460738878556717,1.015704730497897,0.5347171178635329,1.7985538822171003,1.9440919419982858,1.0599260657266,2.170981458363073,2.302028420460229,1.9418517226846441
63,1.478585157623797,1.8515902776859396,1.018945290517962,0.5398575596660107,1.798498749902343,1.950462843825355,1.0637180494180738,2.1777138081016094,2.3355477454244156,1.944533726313864
64,1.496822216207165,1.8571852089919778,1.0223329295862622,0.5450736734430079,1.7987202391003771,1.9568866635983322,1.0675721488968808,2.184473399210079,2.369122033203493,1.9472811999182937
65,1.5150742257393373,1.862787994445593,1.0257352765593857,0.550297354417457,1.7989693904496902,1.9633157751659,1.071432459954421,2.1912357144555417,2.4027018172640586,1.9500352205202445
66,1.53332773036639,1.8683915653139658,1.0291390943229914,0.5555217921116514,1.7992213080141313,1.9697454159129268,1.0752933921698344,2.197998302114704,2.4362821509527737,1.9527898958219474
67,1.5515813845029305,1.8739952147238144,1.0325430591656455,0.5607463054778202,1.799473502200085,1.9761751095778997,1.0791543865010356,2.2047609170152365,2.4698625396043035,1.9555446365936255
68,1.56983505359042,1.8795988719878107,1.0359470387162046,0.5659708264111866,1.79972572404819,1.982604808534667,1.0830153870438153,2.211523534639906,2.503442933752115,1.9582993839123013
69,1.5880887241730042,1.885202530037222,1.0393510197375542,0.5711953481012726,1.7999779486625105,1.9890345080206138,1.0868763882077528,2.218286152536989,2.5370233284495542,1.961054131885677
70,1.6063423949050981,1.8908061881651745,1.0427550009059825,0.5764198698670305,1.800230173553452,1.9954642075594786,1.090737389433806,2.225048770461313,2.5706037232019567,1.9638088799245224
71,1.6245960656521428,1.896409846300981,1.0461589820891186,0.5816443916403558,1.800482398472056,2.0018939071036352,1.0945983906660708,2.2318113883883615,2.6041841179598553,1.9665636279699148
72,1.6428497364006827,1.902013504437573,1.0495629632737256,0.5868689134144378,1.800734623393426,2.0083236066483208,1.098459391898957,2.2385740063156825,2.6377645127183036,1.9693183760159623
73,1.661103407149372,1.9076171625742437,1.0529669444584797,0.5920934351885954,1.8009868483150728,2.014753306193059,1.102320393131905,2.2453366242430306,2.671344907476807,1.9720731240620748
74,1.6793570778980764,1.9132208207109223,1.0563709256432487,0.5973179569627606,1.8012390732367471,2.0211830057378033,1.1061813943648593,2.2520992421703814,2.7049253022353157,1.974827872108194
75,1.6976107486467822,1.9188244788476014,1.0597749068280193,0.6025424787369265,1.8014912981584241,2.0276127052825474,1.110042395597814,2.2588618600977326,2.738505696993825,1.9775826201543136
76,1.7158644193954884,1.9244281369842806,1.06317888801279,0.6077670005110926,1.8017435230801015,2.034042404827292,1.113903396830769,2.265624478025084,2.772086091752334,1.9803373682004335
77,1.7341180901441944,1.9300317951209598,1.0665828691975607,0.6129915222852585,1.801995748001779,2.0404721043720366,1.1177643980637242,2.272387095952435,2.805666486510843,1.9830921162465536
78,1.7523717608929004,1.935635453257639,1.0699868503823315,0.6182160440594245,1.8022479729234564,2.0469018039167812,1.1216253992966794,2.2791497138797863,2.8392468812693523,1.9858468642926737
79,1.7706254316416064,1.9412391113943182,1.0733908315671026,0.6234405658335905,1.8025001978451338,2.053331503461526,1.1254864005296346,2.2859123318071375,2.8728272760278615,1.9886016123387937
80,1.7888791023903123,1.9468427695309973,1.0767948127518732,0.6286650876077565,1.8027524227668112,2.0597612030062704,1.1293474017625897,2.2926749497344887,2.9064076707863706,1.9913563603849138
81,1.8071327731390183,1.9524464276676765,1.080198793936644,0.6338896093819225,1.8030046476884887,2.066190902551015,1.133208402995545,2.29943756766184,2.93998806554488,1.994111108431034
82,1.8253864438877243,1.9580500858043557,1.0836027751214148,0.6391141311560885,1.803256872610166,2.0726206020957596,1.1370694042285001,2.306200185589191,2.973568460303389,1.996865856477154
83,1.8436401146364303,1.9636537439410349,1.0870067563061856,0.6443386529302545,1.8035090975318435,2.079050301640504,1.1409304054614553,2.3129628035165424,3.007148855061898,1.999620604523274
84,1.8618937853851363,1.969257402077714,1.0904107374909562,0.6495631747044205,1.803761322453521,2.085480001185249,1.1447914066944105,2.3197254214438936,3.0407292498204073,2.002375352569394
85,1.8801474561338423,1.9748610602143932,1.0938147186757268,0.6547876964785865,1.8040135473751984,2.0919097007299934,1.1486524079273657,2.326488039371245,3.0743096445789164,2.0051301006155136
86,1.8984011268825483,1.9804647183510724,1.0972186998604976,0.6600122182527525,1.8042657722968758,2.098339400274738,1.1525134091603209,2.333250657298596,3.1078900393374256,2.007884848661633
87,1.9166547976312542,1.9860683764877516,1.1006226810452684,0.6652367400269185,1.8045179972185532,2.1047690998194826,1.156374410393276,2.3400132752259473,3.1414704340959347,2.010639596707753
88,1.9349084683799602,1.9916720346244308,1.1040266622300392,0.6704612618010845,1.8047702221402306,2.111198799364227,1.1602354116262312,2.3467758931532985,3.175050828854444,2.0133943447538725
89,1.9531621391286662,1.99727569276111,1.10743064341481,0.6756857835752504,1.805022447061908,2.1176284989089718,1.1640964128591864,2.3535385110806497,3.208631223612953,2.016149092799992
90,1.9714158098773722,2.002879350897789,1.1108346245995806,0.6809103053494164,1.8052746719835855,2.1240581984537164,1.1679574140921416,2.360301129008001,3.242211618371462,2.0189038408461117
91,1.9896694806260782,2.0084830090344683,1.1142386057843512,0.6861348271235824,1.805526896905263,2.130487897998461,1.1718184153250968,2.367063746935352,3.2757920131299714,2.0216585888922314
92,2.007923151374784,2.0140866671711475,1.117642586969122,0.6913593488977483,1.8057791218269403,2.1369175975432055,1.175679416558052,2.3738263648627034,3.3093724078884805,2.024413336938351
