candidate_id,c_0,delta_decay_power,zeta,eta_plus,eta_minus,final_mean_regret,mean_path_regret,final_regret_std,final_mean_reference_price,final_mean_price_estimate,is_default_candidate
c0_0_05_decay_0_2,0.05,0.2,0.02,0.1,0.15,9.505314966036348,6.837735610730547,4.07511726119514,1.0834347690341326,1.0929079975748226,False
c0_0_05_decay_0_2,0.05,0.2,0.02,0.1,0.3,9.758051229229252,7.065554617080468,4.547299018762797,1.0808857565151768,1.0903589850558668,False
c0_0_05_decay_0_2,0.05,0.2,0.02,0.1,0.45,10.63295027686903,7.512621978166138,5.3826811406572785,1.0767858316713048,1.0862590602119948,False
c0_0_05_decay_0_2,0.05,0.2,0.1,0.1,0.15,9.597951960288668,6.911815501659263,4.011250834839452,1.0826898966355747,1.0921631251762647,False
c0_0_05_decay_0_2,0.05,0.2,0.1,0.1,0.3,9.904744399577874,7.172568749988839,4.582891691536831,1.0799356031426055,1.0894088316832953,False
c0_0_05_decay_0_2,0.05,0.2,0.1,0.1,0.45,10.964369295573373,7.732882557810123,5.569595520439048,1.0756645740320765,1.0851378025727663,False
c0_0_05_decay_0_2,0.05,0.2,0.4,0.1,0.15,10.459119638862798,7.555864398339693,4.390493206775599,1.0783919506743254,1.0878651792150151,False
c0_0_05_decay_0_2,0.05,0.2,0.4,0.1,0.3,11.396834087933772,8.186991923064678,5.515081412775392,1.0741250071831683,1.083598235723858,False
c0_0_05_decay_0_2,0.05,0.2,0.4,0.1,0.45,13.316241963048787,9.440403193067137,7.255375186068138,1.0721012872574733,1.0815745157981633,False
c0_0_05_decay_0_25,0.05,0.25,0.02,0.1,0.15,9.43591810207874,6.6722411798196,4.859941054510462,1.0865369986289155,1.0927869986289154,False
c0_0_05_decay_0_25,0.05,0.25,0.02,0.1,0.3,9.773333459141323,6.973922080996502,5.319750935283572,1.0835681592586681,1.0898181592586682,False
c0_0_05_decay_0_25,0.05,0.25,0.02,0.1,0.45,10.762426073516611,7.47211074171887,6.2386033920971355,1.078724840069152,1.0849748400691523,False
c0_0_05_decay_0_25,0.05,0.25,0.1,0.1,0.15,9.52277043504903,6.7395923298541005,4.78544533205146,1.0856940370588994,1.0919440370588995,False
